,genre
tt1690953,"['animation', 'comedy', 'family']"
tt1597522,"['adventure', 'comedy', 'family']"
tt1843866,"['action', 'adventure', 'science-fiction', 'superhero']"
tt1587310,"['action', 'adventure', 'fantasy', 'romance', 'family']"
tt1979388,"['animation', 'adventure', 'family']"
tt2294629,"['adventure', 'animation', 'family', 'musical', 'fantasy']"
tt1109624,"['comedy', 'adventure', 'family']"
tt1655413,"['animation', 'comedy', 'music']"
tt2015381,"['adventure', 'science-fiction', 'action']"
tt2290828,"['action', 'fantasy', 'anime']"
tt2094766,"['action', 'adventure', 'science-fiction']"
tt1872880,"['comedy', 'romance']"
tt2310332,"['adventure', 'fantasy', 'action']"
tt0410532,"['romance', 'music', 'drama', 'musical']"
tt2277860,"['animation', 'family', 'adventure', 'comedy']"
tt1979319,"['action', 'history', 'adventure', 'fantasy', 'war']"
tt1939659,"['drama', 'horror']"
tt1560993,"['comedy', 'romance']"
tt1457767,"['horror', 'thriller']"
tt2488496,"['action', 'adventure', 'science-fiction']"
tt2140373,"['comedy', 'drama', 'history']"
tt6464772,"['comedy', 'history']"
tt2576852,"['drama', 'fantasy', 'anime']"
tt2096673,"['animation', 'comedy', 'family', 'drama', 'adventure']"
tt2177771,"['action', 'drama', 'history', 'war']"
tt2311182,"['comedy', 'romance']"
tt2184339,"['horror', 'science-fiction', 'thriller']"
tt1754109,"['history', 'music', 'musical']"
tt1790809,"['action', 'adventure', 'fantasy']"
tt2230358,"['horror', 'thriller']"
tt3759416,"['adventure', 'animation', 'comedy', 'family']"
tt2245084,"['action', 'animation', 'comedy', 'adventure', 'family', 'superhero']"
tt2692250,"['adventure', 'comedy', 'fantasy', 'family']"
tt2527336,"['adventure', 'science-fiction', 'action']"
tt2527338,"['action', 'science-fiction', 'adventure']"
tt2315200,['comedy']
tt1714853,['comedy']
tt1710569,['comedy']
tt0816442,['drama']
tt2084970,"['drama', 'history', 'thriller', 'war']"
tt2293640,"['adventure', 'animation', 'comedy', 'family']"
tt3029558,"['action', 'adventure', 'drama', 'fantasy']"
tt3029556,"['action', 'adventure', 'drama', 'fantasy']"
tt2180411,"['fantasy', 'comedy', 'musical']"
tt9728242,['comedy']
tt13381550,"['music', 'romance', 'history']"
tt2374144,"['action', 'comedy', 'science-fiction', 'anime']"
tt0076363,"['animation', 'family', 'adventure']"
tt3183660,"['fantasy', 'adventure']"
tt3606756,"['animation', 'family', 'action', 'adventure', 'superhero']"
tt2800240,['comedy']
tt2980516,"['drama', 'romance']"
tt2948356,"['adventure', 'animation', 'comedy', 'family']"
tt3521164,"['family', 'adventure', 'comedy', 'animation', 'musical']"
tt3040964,"['adventure', 'drama', 'fantasy', 'family', 'animation']"
tt1718845,['comedy']
tt4184878,"['comedy', 'action', 'adventure']"
tt4154756,"['action', 'adventure', 'superhero', 'science-fiction']"
tt3547740,"['comedy', 'music', 'drama']"
tt4154664,"['science-fiction', 'action', 'adventure', 'superhero']"
tt1979376,"['animation', 'comedy', 'family', 'adventure', 'fantasy']"
tt4412744,['comedy']
tt3717532,"['action', 'romance', 'anime']"
tt3469046,"['animation', 'comedy', 'action', 'family', 'adventure']"
tt3748528,"['science-fiction', 'adventure', 'action']"
tt1677720,"['science-fiction', 'adventure', 'action']"
tt3822818,"['drama', 'history', 'war']"
tt4566758,"['fantasy', 'adventure', 'drama', 'action']"
tt3228774,"['comedy', 'crime']"
tt4123430,"['adventure', 'fantasy']"
tt3778644,"['science-fiction', 'adventure', 'action']"
tt4366830,"['music', 'musical', 'romance']"
tt2380307,"['animation', 'family', 'adventure', 'music', 'holiday']"
tt5311514,"['drama', 'romance', 'anime']"
tt4926538,['comedy']
tt11924388,"['comedy', 'family']"
tt3280262,"['horror', 'thriller', 'comedy']"
tt1517268,"['comedy', 'adventure']"
tt5083738,"['drama', 'comedy', 'thriller']"
tt5848272,"['animation', 'family', 'comedy', 'adventure']"
tt6225534,"['comedy', 'fantasy', 'horror']"
tt6475250,"['anime', 'action', 'comedy']"
tt5805470,"['action', 'adventure', 'comedy', 'science-fiction', 'fantasy']"
tt5884052,"['adventure', 'action', 'fantasy']"
tt1727824,"['drama', 'music']"
tt6921996,"['comedy', 'action', 'adventure']"
tt3361792,"['drama', 'war', 'romance']"
tt5208252,"['drama', 'history', 'thriller']"
tt7745068,"['anime', 'action', 'superhero', 'fantasy', 'adventure']"
tt4761916,"['horror', 'mystery', 'thriller']"
tt7146812,"['animation', 'family', 'adventure', 'comedy', 'fantasy']"
tt2948372,"['animation', 'family', 'comedy', 'fantasy']"
tt12801262,"['animation', 'comedy', 'fantasy', 'adventure', 'family']"
tt6563576,"['animation', 'family']"
tt7525778,['comedy']
tt7639528,"['comedy', 'action', 'science-fiction', 'fantasy']"
tt5109280,"['adventure', 'animation', 'fantasy', 'family', 'action']"
tt6704776,"['thriller', 'history', 'drama']"
tt5562070,"['family', 'comedy', 'fantasy', 'donghua']"
tt2953050,"['animation', 'family', 'fantasy', 'comedy', 'musical']"
tt9844322,"['adventure', 'fantasy', 'comedy']"
tt11107074,"['anime', 'action', 'fantasy', 'adventure', 'superhero']"
tt11809034,"['action', 'adventure', 'history', 'drama']"
tt11032374,"['anime', 'action', 'adventure', 'fantasy', 'thriller']"
tt11958344,"['anime', 'drama', 'romance', 'fantasy']"
tt11991748,"['action', 'drama', 'adventure', 'romance']"
tt10766468,"['anime', 'action', 'comedy']"
tt13575806,"['animation', 'family', 'adventure', 'comedy']"
tt15789038,"['animation', 'fantasy', 'family', 'comedy', 'romance']"
tt21261712,"['music', 'drama', 'history']"
tt7737786,"['action', 'thriller', 'drama']"
tt1631867,"['action', 'science-fiction']"
tt0455944,"['action', 'crime', 'thriller']"
tt2911666,"['action', 'thriller']"
tt4425200,"['action', 'thriller', 'crime']"
tt2119532,"['drama', 'history', 'war']"
tt3766354,"['thriller', 'action', 'crime']"
tt3359350,"['action', 'thriller']"
tt1877830,"['crime', 'superhero', 'mystery', 'thriller']"
tt6146586,"['crime', 'thriller', 'action']"
tt10366206,"['action', 'crime', 'thriller']"
tt7888964,"['action', 'thriller']"
tt5884796,['action']
tt4614584,"['romance', 'drama']"
tt15314262,"['action', 'thriller', 'crime']"
tt15326988,"['romance', 'action', 'comedy']"
tt17024450,"['action', 'thriller', 'crime']"
tt2016303,"['action', 'thriller']"
tt1013743,"['action', 'comedy']"
tt0372784,"['action', 'crime', 'drama', 'superhero']"
tt0117060,"['action', 'adventure', 'thriller']"
tt0120755,"['action', 'adventure', 'thriller']"
